ADM1_EN,ADM1_TH,ADM0_EN,ADM0_TH,ADM0_PCODE,REGION4,REGION6,REGION9,DESTINATIO
Bangkok,กรุงเทพมหานคร,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองหลัก
Samut Prakan,สมุทรปราการ,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองหลัก
Nonthaburi,นนทบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองหลัก
Pathum Thani,ปทุมธานี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองหลัก
Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองหลัก
Ang Thong,อ่างทอง,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองรอง
Lop Buri,ลพบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองรอง
Sing Buri,สิงห์บุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองรอง
Chai Nat,ชัยนาท,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองรอง
Saraburi,สระบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคกลาง,เมืองหลัก
Chon Buri,ชลบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Rayong,ระยอง,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Chanthaburi,จันทบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Trat,ตราด,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Chachoengsao,ฉะเชิงเทรา,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองหลัก
Prachin Buri,ปราจีนบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Nakhon Nayok,นครนายก,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคตะวันออก,เมืองรอง
Sa Kaeo,สระแก้ว,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันออก,ภาคตะวันออก,เมืองรอง
Nakhon Ratchasima,นครราชสีมา,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองหลัก
Buri Ram,บุรีรัมย์,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Surin,สุรินทร์,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Si Sa Ket,ศรีสะเกษ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Ubon Ratchathani,อุบลราชธานี,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Yasothon,ยโสธร,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Chaiyaphum,ชัยภูมิ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Amnat Charoen,อำนาจเจริญ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Bueng Kan,บึงกาฬ,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Nong Bua Lam Phu,หนองบัวลำภู,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนล่าง,เมืองรอง
Khon Kaen,ขอนแก่น,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองหลัก
Udon Thani,อุดรธานี,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Loei,เลย,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Nong Khai,หนองคาย,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Maha Sarakham,มหาสารคาม,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Roi Et,ร้อยเอ็ด,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Kalasin,กาฬสินธุ์,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Sakon Nakhon,สกลนคร,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Nakhon Phanom,นครพนม,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Mukdahan,มุกดาหาร,Thailand,ประเทศไทย,TH,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือตอนบน,เมืองรอง
Chiang Mai,เชียงใหม่,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองหลัก
Lamphun,ลำพูน,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Lampang,ลำปาง,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Uttaradit,อุตรดิตถ์,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Phrae,แพร่,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Nan,น่าน,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Phayao,พะเยา,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Chiang Rai,เชียงราย,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Mae Hong Son,แม่ฮ่องสอน,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคเหนือ,ภาคเหนือตอนบน,เมืองรอง
Nakhon Sawan,นครสวรรค์,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Uthai Thani,อุทัยธานี,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Kamphaeng Phet,กำแพงเพชร,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Tak,ตาก,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคตะวันตก,ภาคเหนือตอนล่าง,เมืองรอง
Sukhothai,สุโขทัย,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Phitsanulok,พิษณุโลก,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Phichit,พิจิตร,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Phetchabun,เพชรบูรณ์,Thailand,ประเทศไทย,TH,ภาคเหนือ,ภาคกลาง,ภาคเหนือตอนล่าง,เมืองรอง
Ratchaburi,ราชบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันตก,ภาคตะวันตก,เมืองรอง
Kanchanaburi,กาญจนบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Suphan Buri,สุพรรณบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคตะวันตก,เมืองรอง
Nakhon Pathom,นครปฐม,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคตะวันตก,เมืองหลัก
Samut Sakhon,สมุทรสาคร,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคตะวันตก,เมืองหลัก
Samut Songkhram,สมุทรสงคราม,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคกลาง,ภาคตะวันตก,เมืองรอง
Phetchaburi,เพชรบุรี,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Prachuap Khiri Khan,ประจวบคีรีขันธ์,Thailand,ประเทศไทย,TH,ภาคกลาง,ภาคตะวันตก,ภาคตะวันตก,เมืองหลัก
Nakhon Si Thammarat,นครศรีธรรมราช,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองรอง
Krabi,กระบี่,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองหลัก
Phangnga,พังงา,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองหลัก
Phuket,ภูเก็ต,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองหลัก
Surat Thani,สุราษฎร์ธานี,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองหลัก
Ranong,ระนอง,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองรอง
Chumphon,ชุมพร,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนบน,เมืองรอง
Songkhla,สงขลา,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองหลัก
Satun,สตูล,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองรอง
Trang,ตรัง,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองรอง
Phatthalung,พัทลุง,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองรอง
Pattani,ปัตตานี,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองรอง
Yala,ยะลา,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองรอง
Narathiwat,นราธิวาส,Thailand,ประเทศไทย,TH,ภาคใต้,ภาคใต้,ภาคใต้ตอนล่าง,เมืองรอง
